value;label
TUPY3;Tupy ON NM
TXRX3;Tex Renaux ON
TXRX4;Tex Renaux PN
UCAS3;Unicasa ON NM
UGPA3;Ultrapar ON NM
UNIP3;Unipar ON
UNIP5;Unipar PNA
UNIP6;Unipar PNB
USIM3;Usiminas ON N1
USIM5;Usiminas PNA N1
USIM6;Usiminas PNB N1
VALE3;Vale ON NM
VAMO3;Vamos ON NM
VCJR11;Fii Vectis CI ER
VERE11;Fii Vereda CI ER
VGIR11;Fii Valreiii CI
VIGT11;Fip Vinci Ie CI
VIIA3;Via ON NM
VILG11;Fii Vinci Lg CI ER
VINO11;Fii Vinci Of CI ER
VISC11;Fii Vinci Sc CI ER
VITT3;Vittia ON NM
VIVA3;Vivara S.A. ON NM
VIVR3;Viver ON NM
VIVT3;Telef Brasil ON
VLID3;Valid ON NM
VOTS11;Fii V Master CI ER
VRTA11;Fii Fator Ve CI ER
VSHO11;Fii Vot Shop CI ER
VSPT3;Fer C Atlant ON
VTLT11;Fii Vot Log CI ER
VULC3;Vulcabras ON ED NM
VVAR3;Viavarejo ON NM
VVEO3;Viveo ON NM
VVPR11;Fii V2 Prop CI ER
WEGE3;Weg ON NM
WEST3;Westwing ON NM
WHRL3;Whirlpool ON
WHRL4;Whirlpool PN
WIZS3;Wiz S.A. ON NM
WLMM3;Wlm Ind Com ON
WLMM4;Wlm Ind Com PN
WPLZ11;Fii W Plaza CI ER
XBOV11;Caixaetfxbov CI
XPCI11;Fii Xp Cred CI ER
XPCM11;Fii Xp Macae CI ER
XPHT11;Fii Xp Hot CI
XPIE11;Fip Xp Infra CI
XPIN11;Fii Xp Indl CI
XPLG11;Fii Xp Log CI ER
XPML11;Fii Xp Malls CI
XPPR11;Fii Xp Prop CI ER
XPSF11;Fii Xp Selec CI ER
XTED11;Fii Trxe Cor CI
YDUQ3;Yduqs Part ON NM
